Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,,,Row Labels,Sum of 1-Month Net Change,Sum of 3-Month Net Change,Sum of 6-Month Net Change,Sum of 12-Month Net Change
Series ID,Year,Period,Label,Value,1-Month Net Change,3-Month Net Change,6-Month Net Change,12-Month Net Change,1-Month % Change,3-Month % Change,6-Month % Change,12-Month % Change,MOVING AVERAGE,,LNS14000006,1,1.8,2.6,6.2
LNS14000006,2024,M01,2024 Jan,5.3,0.1,-0.6,-0.4,-0.1,1.9,-10.2,-7,-1.9,,,2024 Apr,-0.8,0.3,-0.3,0.8
LNS14000006,2024,M02,2024 Feb,5.6,0.3,-0.2,0.3,-0.2,5.7,-3.4,5.7,-3.4,,,2024 Aug,-0.2,0,0.5,0.8
LNS14000006,2024,M03,2024 Mar,6.4,0.8,1.2,0.7,1.4,14.3,23.1,12.3,28,,,2024 Dec,-0.3,0.4,-0.2,0.9
LNS14000006,2024,M04,2024 Apr,5.6,-0.8,0.3,-0.3,0.8,-12.5,5.7,-5.1,16.7,,,2024 Feb,0.3,-0.2,0.3,-0.2
LNS14000006,2024,M05,2024 May,6.1,0.5,0.5,0.3,0.4,8.9,8.9,5.2,7,,,2024 Jan,0.1,-0.6,-0.4,-0.1
LNS14000006,2024,M06,2024 Jun,6.3,0.2,-0.1,1.1,0.3,3.3,-1.6,21.2,5,,,2024 Jul,0,0.7,1,0.6
LNS14000006,2024,M07,2024 Jul,6.3,0,0.7,1,0.6,0,12.5,18.9,10.5,,,2024 Jun,0.2,-0.1,1.1,0.3
LNS14000006,2024,M08,2024 Aug,6.1,-0.2,0,0.5,0.8,-3.2,0,8.9,15.1,,,2024 Mar,0.8,1.2,0.7,1.4
LNS14000006,2024,M09,2024 Sep,5.7,-0.4,-0.6,-0.7,0,-6.6,-9.5,-10.9,0,,,2024 May,0.5,0.5,0.3,0.4
LNS14000006,2024,M10,2024 Oct,5.7,0,-0.6,0.1,-0.2,0,-9.5,1.8,-3.4,,,2024 Nov,0.7,0.3,0.3,0.6
LNS14000006,2024,M11,2024 Nov,6.4,0.7,0.3,0.3,0.6,12.3,4.9,4.9,10.3,,,2024 Oct,0,-0.6,0.1,-0.2
LNS14000006,2024,M12,2024 Dec,6.1,-0.3,0.4,-0.2,0.9,-4.7,7,-3.2,17.3,,,2024 Sep,-0.4,-0.6,-0.7,0
LNS14000006,2025,M01,2025 Jan,6.2,0.1,0.5,-0.1,0.9,1.6,8.8,-1.6,17,,,2025 Jan,0.1,0.5,-0.1,0.9
,,,,,,,,,,,,,,,Grand Total,1,1.8,2.6,6.2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Row Labels,Sum of 1-Month % Change,Sum of 3-Month % Change,Sum of 6-Month % Change,Sum of 12-Month % Change
,,,,,,,,,,,,,,,LNS14000006,21,36.7,51.1,118.2
,,,,,,,,,,,,,,,2024 Apr,-12.5,5.7,-5.1,16.7
,,,,,,,,,,,,,,,2024 Aug,-3.2,0,8.9,15.1
,,,,,,,,,,,,,,,2024 Dec,-4.7,7,-3.2,17.3
,,,,,,,,,,,,,,,2024 Feb,5.7,-3.4,5.7,-3.4
,,,,,,,,,,,,,,,2024 Jan,1.9,-10.2,-7,-1.9
,,,,,,,,,,,,,,,2024 Jul,0,12.5,18.9,10.5
,,,,,,,,,,,,,,,2024 Jun,3.3,-1.6,21.2,5
,,,,,,,,,,,,,,,2024 Mar,14.3,23.1,12.3,28
,,,,,,,,,,,,,,,2024 May,8.9,8.9,5.2,7
,,,,,,,,,,,,,,,2024 Nov,12.3,4.9,4.9,10.3
,,,,,,,,,,,,,,,2024 Oct,0,-9.5,1.8,-3.4
,,,,,,,,,,,,,,,2024 Sep,-6.6,-9.5,-10.9,0
,,,,,,,,,,,,,,,2025 Jan,1.6,8.8,-1.6,17
,,,,,,,,,,,,,,,Grand Total,21,36.7,51.1,118.2
,,,,,,,,,,,,,,,,,,,
FORECAST,,,,,,,,,,,,,,,Row Labels,Sum of 1-Month Net Change ROLLING AVERAGE,Sum of 3-Month Net Change ROLLING AVERAGE,Sum of 6-Month Net Change ROLLIN AVERAGE,Sum of 12-Month Net Change ROLLING AVERAGE
Series ID,Year,Period,Label,Value,1-Month Net Change ROLLING AVERAGE,3-Month Net Change ROLLING AVERAGE,6-Month Net Change ROLLIN AVERAGE,12-Month Net Change ROLLING AVERAGE,1-Month % Change ROLLING AVERAGE,3-Month % Change ROLLING AVERAGE,6-Month % Change ROLLING AVERAGE,12-Month % Change ROLLING AVERAGE,MOVING AVERAGE,,LNS14000006,0.578,1.976,2.334,6.809
LNS14000006,2024,M01,2024 Jan,5.3,0.077,0.138,0.200,0.477, 1.62 , 2.82 , 3.93 , 9.09 ,,,2024 Apr,0.001,0.151,0.207,0.513
LNS14000006,2024,M02,2024 Feb,5.6,0.075,0.195,0.246,0.521, 1.59 , 3.82 , 4.77 , 9.94 ,,,2024 Aug,0.017,0.084,0.112,0.507
LNS14000006,2024,M03,2024 Mar,6.4,0.058,0.226,0.242,0.577, 1.28 , 4.38 , 4.70 , 10.96 ,,,2024 Dec,0.024,0.193,0.134,0.576
LNS14000006,2024,M04,2024 Apr,5.6,0.001,0.151,0.207,0.513, 0.28 , 2.94 , 4.12 , 9.65 ,,,2024 Feb,0.075,0.195,0.246,0.521
LNS14000006,2024,M05,2024 May,6.1,0.062,0.139,0.246,0.491, 1.26 , 2.73 , 4.82 , 9.11 ,,,2024 Jan,0.077,0.138,0.200,0.477
LNS14000006,2024,M06,2024 Jun,6.3,0.029,0.111,0.242,0.498, 0.67 , 2.25 , 4.80 , 9.27 ,,,2024 Jul,0.016,0.128,0.176,0.514
LNS14000006,2024,M07,2024 Jul,6.3,0.016,0.128,0.176,0.514, 0.47 , 2.55 , 3.53 , 9.60 ,,,2024 Jun,0.029,0.111,0.242,0.498
LNS14000006,2024,M08,2024 Aug,6.1,0.017,0.084,0.112,0.507, 0.50 , 1.78 , 2.35 , 9.53 ,,,2024 Mar,0.058,0.226,0.242,0.577
LNS14000006,2024,M09,2024 Sep,5.7,0.033,0.090,0.082,0.485, 0.79 , 1.92 , 1.85 , 9.11 ,,,2024 May,0.062,0.139,0.246,0.491
LNS14000006,2024,M10,2024 Oct,5.7,0.067,0.143,0.142,0.522, 1.36 , 2.80 , 2.83 , 9.81 ,,,2024 Nov,0.072,0.200,0.146,0.577
LNS14000006,2024,M11,2024 Nov,6.4,0.072,0.200,0.146,0.577, 1.46 , 3.75 , 2.91 , 10.82 ,,,2024 Oct,0.067,0.143,0.142,0.522
LNS14000006,2024,M12,2024 Dec,6.1,0.024,0.193,0.134,0.576, 0.63 , 3.66 , 2.75 , 10.86 ,,,2024 Sep,0.033,0.090,0.082,0.485
LNS14000006,2025,M01,2025 Jan,6.2,0.048,0.177,0.160,0.551, 1.04 , 3.40 , 3.21 , 10.37 ,,,2025 Jan,0.048,0.177,0.160,0.551
,,,,,,,,,,,,,,,Grand Total,0.578,1.976,2.334,6.809
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Row Labels,Sum of 1-Month % Change ROLLING AVERAGE,Sum of 3-Month % Change ROLLING AVERAGE,Sum of 6-Month % Change ROLLING AVERAGE,Sum of 12-Month % Change ROLLING AVERAGE
,,,,,,,,,,,,,,,LNS14000006, 12.94 , 38.81 , 46.57 , 128.13 
,,,,,,,,,,,,,,,2024 Apr, 0.28 , 2.94 , 4.12 , 9.65 
,,,,,,,,,,,,,,,2024 Aug, 0.50 , 1.78 , 2.35 , 9.53 
,,,,,,,,,,,,,,,2024 Dec, 0.63 , 3.66 , 2.75 , 10.86 
,,,,,,,,,,,,,,,2024 Feb, 1.59 , 3.82 , 4.77 , 9.94 
,,,,,,,,,,,,,,,2024 Jan, 1.62 , 2.82 , 3.93 , 9.09 
,,,,,,,,,,,,,,,2024 Jul, 0.47 , 2.55 , 3.53 , 9.60 
,,,,,,,,,,,,,,,2024 Jun, 0.67 , 2.25 , 4.80 , 9.27 
,,,,,,,,,,,,,,,2024 Mar, 1.28 , 4.38 , 4.70 , 10.96 
,,,,,,,,,,,,,,,2024 May, 1.26 , 2.73 , 4.82 , 9.11 
,,,,,,,,,,,,,,,2024 Nov, 1.46 , 3.75 , 2.91 , 10.82 
,,,,,,,,,,,,,,,2024 Oct, 1.36 , 2.80 , 2.83 , 9.81 
,,,,,,,,,,,,,,,2024 Sep, 0.79 , 1.92 , 1.85 , 9.11 
,,,,,,,,,,,,,,,2025 Jan, 1.04 , 3.40 , 3.21 , 10.37 
,,,,,,,,,,,,,,,Grand Total, 12.94 , 38.81 , 46.57 , 128.13 
